Mode,fold,y_true,y_false,loss,accuracy,precision,recall,fmeasure
Mixed-1,0,1150,186,0.457044,0.756477,0.314523,0.754009,0.426506,0.852744
Mixed-2,0,1150,186,0.230573,0.941781,0.273973,0.136986,0.182648,0.758604
Mixed-3,0,1150,186,0.564416,0.710526,0.367872,0.710009,0.459199,0.776741
Mixed-4,0,1150,186,0.447540,0.815126,0.385181,0.451941,0.397449,0.761728
Mixed-1,1,1148,185,0.415936,0.864583,0.561508,0.450000,0.490741,0.815713
Mixed-2,1,1148,185,0.356784,0.955326,0.329897,0.219931,0.256586,0.613203
Mixed-3,1,1148,185,0.586610,0.744939,0.356815,0.502396,0.404804,0.745512
Mixed-4,1,1148,185,0.524647,0.828652,0.347994,0.308614,0.312312,0.765878
Mixed-1,2,1148,183,0.475419,0.781250,0.401852,0.770238,0.474603,0.821998
Mixed-2,2,1148,183,0.241419,0.934708,0.153952,0.164948,0.136148,0.772305
Mixed-3,2,1148,183,0.651926,0.628803,0.278900,0.648366,0.383743,0.748920
Mixed-4,2,1148,183,0.567908,0.715493,0.308396,0.759437,0.421418,0.801084
DA-1-True-True,0,166,27,0.493081,0.787565,0.354467,0.754009,0.471932,0.858768
DA-1-True-True,1,165,27,0.473004,0.807292,0.378968,0.600000,0.457757,0.802020
DA-1-True-True,2,165,27,0.484959,0.817708,0.345202,0.393651,0.350228,0.810101
DA-2-True-True,0,277,15,0.474333,0.900685,0.158904,0.273973,0.199348,0.789651
DA-2-True-True,1,277,14,0.528596,0.893471,0.117297,0.274914,0.161807,0.758123
DA-2-True-True,2,277,14,0.423322,0.927835,0.208935,0.384880,0.268107,0.775658
DA-3-True-True,0,402,92,0.581152,0.704453,0.361159,0.724404,0.460223,0.764114
DA-3-True-True,1,402,92,0.603464,0.678138,0.331153,0.674206,0.428342,0.756814
DA-3-True-True,2,402,91,0.567702,0.736308,0.359821,0.622866,0.448075,0.738751
DA-4-True-True,0,305,52,0.503835,0.781513,0.343939,0.614993,0.428135,0.780139
DA-4-True-True,1,304,52,0.530965,0.786517,0.322415,0.413483,0.352462,0.795104
DA-4-True-True,2,304,51,0.602917,0.681690,0.291971,0.815775,0.412833,0.801277
