Mode,fold,y_true,y_false,loss,accuracy,precision,recall,fmeasure
Mixed-1,0,690,112,0.461430646222,0.818965521352,0.41370603956,0.783251215672,0.528735611973,0.827094474153
Mixed-2,0,690,112,0.305469374765,0.909090909091,0.272727278146,0.272727278146,0.266666639935,0.845642049235
Mixed-3,0,690,112,0.551865582531,0.756756756757,0.380757383398,0.531917641292,0.429003675242,0.715126367409
Mixed-4,0,690,112,0.433550304063,0.817757012131,0.299065425017,0.314730757865,0.298115968704,0.797285386921
Mixed-1,1,689,111,0.426278502008,0.800000004665,0.391345766316,0.653043481578,0.464001189626,0.844696969697
Mixed-2,1,689,111,0.278954214709,0.908571429253,0.152380954197,0.243809503828,0.164571413313,0.79250334672
Mixed-3,1,689,111,0.573375225067,0.743243243243,0.319305021215,0.445302450979,0.360690199846,0.697623538287
Mixed-4,1,689,111,0.460633651397,0.808411214396,0.392056079668,0.480062313169,0.392786198409,0.749162700511
Mixed-1,2,688,111,0.444531345367,0.834782607141,0.38956521905,0.397515537428,0.370412129941,0.74053030303
Mixed-2,2,688,111,0.240926209007,0.925714285714,0.152380954197,0.243809503828,0.164571413313,0.83266398929
Mixed-3,2,688,111,0.479750399468,0.793220339387,0.443551255889,0.486440684432,0.452382347543,0.796666666667
Mixed-4,2,688,111,0.408247985015,0.864485982423,0.470093459726,0.326924798923,0.382101355591,0.82213996122
Mixed-1,3,687,110,0.388327042694,0.843478258278,0.444347829404,0.564927548948,0.49204963031,0.880050505051
Mixed-2,3,687,110,0.217170157309,0.931034482759,0.275862068966,0.490421415746,0.350300986191,0.924698795181
Mixed-3,3,687,110,0.530342012846,0.789830508677,0.447688026752,0.654430997574,0.51617200314,0.8025
Mixed-4,3,687,110,0.465630956939,0.812206574169,0.399388932146,0.468857597018,0.42154446566,0.768344558667
Mixed-1,4,686,110,0.431612988313,0.789473685256,0.387914234609,0.484043428772,0.380914348782,0.824617346939
Mixed-2,4,686,110,0.27551938405,0.931034480703,0.245210729796,0.257471265464,0.197044323231,0.675451807229
Mixed-3,4,686,110,0.594313902168,0.73898305105,0.32792036897,0.472768364922,0.384070931451,0.733409090909
