Mode,time,fold,y_true,y_false,loss,accuracy,precision,recall,fmeasure
FT-1,1,0,99,17,0.494013603391,0.827586204841,0.425287364886,0.448275866693,0.391513622013,0.778966131907
FT-1,1,1,99,16,0.459255646104,0.817391305384,0.36086957351,0.471884064571,0.4080858044,0.784090909091
FT-1,1,2,99,16,0.489199254046,0.791304348863,0.231884060735,0.180869566876,0.193939366548,0.717171717172
FT-1,1,3,99,16,0.434722880177,0.817391305384,0.29823858427,0.405797104214,0.334575536977,0.811868686869
FT-1,1,4,98,16,0.557386523799,0.763157893691,0.208521311743,0.261988313575,0.224561360844,0.737244897959
FT-1,2,0,99,17,0.375153726545,0.862068963462,0.531034493241,0.586206901176,0.545785413734,0.824717765894
FT-1,2,1,99,16,0.531731010002,0.773913040887,0.345120778809,0.499710149869,0.392686683717,0.736111111111
FT-1,2,2,99,16,0.5167642101,0.82608696015,0.339875785164,0.454492759705,0.376314652484,0.808080808081
FT-1,2,3,99,16,0.463392165951,0.765217389749,0.28548843135,0.521739130435,0.364002493153,0.799873737374
FT-1,2,4,98,16,0.454036734606,0.815789477867,0.433528272729,0.617543864668,0.495683594754,0.825255102041
FT-1,3,0,99,17,0.395496373547,0.862068969628,0.475574723605,0.724137935145,0.540149452357,0.844325609031
FT-1,3,1,99,16,0.491214679376,0.782608696689,0.336024848275,0.430724645957,0.365428140371,0.767676767677
FT-1,3,2,99,16,0.494047529283,0.782608696689,0.287536235478,0.364057980413,0.308074495067,0.768939393939
FT-1,3,3,99,16,0.399570616173,0.860869566254,0.460455496415,0.486956521739,0.466418166783,0.796717171717
FT-1,3,4,98,16,0.601172254797,0.78070175334,0.318713456654,0.464327500055,0.35957409363,0.692602040816
FT-1,4,0,99,17,0.450285531324,0.836206894496,0.206896551724,0.165517247956,0.183908018573,0.762329174094
FT-1,4,1,99,16,0.553338602574,0.773913044515,0.321118014792,0.485797111366,0.385318994522,0.741792929293
FT-1,4,2,99,16,0.473929805859,0.817391307976,0.231884060735,0.236521745765,0.231281736623,0.760101010101
FT-1,4,3,99,16,0.465060828043,0.852173910452,0.402213444917,0.463768121471,0.407627711089,0.816919191919
FT-1,4,4,98,16,0.604680181595,0.780701752295,0.338888896139,0.614035097653,0.418045074793,0.730229591837
FT-1,5,0,99,17,0.479819168305,0.810344831697,0.36715929056,0.551724144097,0.434094595498,0.798573975045
FT-1,5,1,99,16,0.523479932547,0.747826091621,0.304295131175,0.638840584651,0.407959812102,0.736742424242
FT-1,5,2,99,16,0.496658856584,0.826086956522,0.306086967302,0.252753626782,0.271774544923,0.784090909091
FT-1,5,3,99,16,0.444915529697,0.826086957558,0.351138720305,0.486956521739,0.385590039129,0.818181818182
FT-1,5,4,98,16,0.599035870611,0.780701756477,0.354385967317,0.576608207665,0.421665995267,0.723852040816
